iter	Passed	Remaining
0	0	30
1	0	29
2	0	28
3	1	25
4	1	25
5	1	25
6	1	25
7	2	25
8	2	25
9	2	25
10	3	25
11	3	24
12	3	24
13	3	23
14	4	24
15	4	24
16	5	26
17	5	26
18	5	25
19	6	24
20	6	24
21	6	23
22	7	23
23	7	23
24	7	22
25	7	22
26	8	21
27	8	21
28	8	20
29	8	20
30	8	20
31	9	19
32	9	19
33	9	18
34	9	18
35	10	18
36	10	17
37	10	17
38	10	17
39	11	16
40	11	16
41	11	15
42	11	15
43	12	15
44	12	14
45	12	14
46	12	14
47	13	14
48	13	13
49	13	13
50	13	13
51	14	13
52	14	12
53	14	12
54	14	12
55	15	11
56	15	11
57	15	11
58	15	10
59	16	10
60	16	10
61	16	10
62	16	9
63	17	9
64	17	9
65	17	9
66	17	8
67	18	8
68	18	8
69	18	8
70	19	7
71	19	7
72	19	7
73	19	6
74	20	6
75	20	6
76	20	6
77	20	5
78	21	5
79	21	5
80	21	5
81	21	4
82	22	4
83	22	4
84	22	4
85	23	3
86	23	3
87	23	3
88	23	2
89	24	2
90	24	2
91	24	2
92	24	1
93	25	1
94	25	1
95	25	1
96	25	0
97	26	0
98	26	0
99	26	0
