iter	Passed	Remaining
0	57	57787
1	58	29041
2	58	19448
3	58	14654
4	59	11777
5	59	9867
6	60	8511
7	60	7482
8	60	6680
9	61	6047
10	61	5520
11	61	5085
12	62	4718
13	62	4400
14	62	4126
15	63	3885
16	63	3672
17	63	3483
18	64	3321
19	64	3165
20	64	3027
21	65	2904
22	65	2794
23	66	2688
24	66	2591
25	66	2498
26	67	2418
27	67	2340
28	67	2267
29	67	2198
30	68	2139
31	68	2082
32	69	2027
33	69	1977
34	69	1929
35	70	1884
36	70	1839
37	71	1799
38	71	1759
39	71	1721
40	72	1687
41	72	1653
42	72	1620
43	73	1588
44	73	1558
45	73	1531
46	74	1504
47	74	1477
48	74	1453
49	75	1428
50	75	1404
51	75	1381
52	76	1359
53	76	1339
54	76	1319
55	77	1299
56	77	1281
57	77	1264
58	78	1247
59	78	1231
60	78	1216
61	79	1200
62	79	1185
63	79	1169
64	80	1155
65	80	1141
66	81	1128
67	81	1115
68	81	1102
69	82	1090
70	82	1077
71	82	1066
72	83	1054
73	83	1043
74	83	1033
75	84	1023
76	84	1012
77	84	1004
78	85	994
79	85	985
80	85	975
81	86	965
82	86	954
83	86	945
84	86	936
85	87	927
86	87	919
87	87	911
88	88	902
89	88	894
90	88	888
91	89	880
92	89	873
93	89	865
94	90	858
95	90	851
96	90	846
97	91	839
98	91	832
99	91	826
100	92	819
101	92	813
102	92	807
103	92	801
104	93	795
105	93	789
106	93	784
107	94	779
108	94	774
109	95	769
110	95	764
111	95	758
112	96	754
113	96	749
114	96	744
115	97	739
116	97	734
117	97	730
118	97	725
119	98	720
120	98	716
121	98	711
122	99	707
123	99	703
124	99	698
125	100	695
126	100	691
127	100	687
128	101	684
129	101	680
130	102	676
131	102	672
132	102	669
133	103	665
134	103	661
135	103	658
136	103	654
137	104	651
138	104	647
139	104	644
140	105	640
141	105	636
142	105	633
143	105	629
144	106	626
145	106	623
146	107	621
147	107	618
148	107	615
149	108	613
150	108	610
151	108	606
152	109	604
153	109	601
154	109	599
155	110	596
156	110	593
157	110	591
158	111	588
159	111	585
160	111	582
161	112	579
162	112	577
163	112	574
164	113	571
165	113	569
166	113	566
167	113	564
168	114	562
169	114	559
170	114	557
171	115	554
172	115	553
173	116	550
174	116	548
175	116	546
176	117	544
177	117	541
178	118	543
179	118	541
180	119	540
181	119	538
182	120	536
183	120	534
184	120	532
185	121	530
186	121	528
187	122	527
188	122	525
189	122	523
190	123	520
191	123	519
192	123	517
193	124	515
194	124	513
195	124	512
196	125	510
197	125	509
198	126	507
199	126	505
200	126	503
201	126	501
202	127	499
203	127	498
204	128	496
205	128	495
206	128	493
207	129	492
208	129	490
209	130	489
210	130	487
211	130	485
212	131	484
213	131	482
214	131	481
215	132	479
216	132	478
217	132	476
218	133	475
219	133	473
220	133	471
221	134	470
222	134	468
223	134	467
224	135	466
225	135	464
226	135	462
227	136	461
228	136	460
229	137	458
230	137	457
231	137	456
232	138	454
233	138	453
234	138	452
235	139	450
236	139	449
237	140	448
238	140	447
239	140	446
240	141	444
241	141	443
242	141	442
243	142	441
244	142	439
245	143	438
246	143	437
247	143	436
248	144	435
249	144	433
250	144	432
251	145	431
252	145	430
253	145	428
254	146	427
255	146	426
256	147	425
257	147	423
258	147	422
259	148	421
260	148	420
261	148	418
262	149	417
263	149	416
264	149	415
265	150	413
266	150	412
267	150	411
268	151	410
269	151	409
270	151	408
271	152	407
272	152	406
273	152	405
274	153	404
275	153	403
276	154	402
277	154	401
278	155	400
279	155	399
280	155	398
281	156	397
282	156	396
283	156	395
284	157	394
285	157	393
286	158	392
287	158	391
288	158	390
289	159	390
290	159	389
291	160	388
292	160	387
293	160	386
294	161	385
295	161	383
296	161	382
297	162	381
298	162	380
299	162	379
300	163	378
301	163	377
302	163	376
303	164	375
304	164	374
305	164	373
306	165	372
307	165	371
308	165	370
309	165	369
310	166	368
311	166	367
312	166	366
313	167	365
314	167	364
315	167	363
316	168	362
317	168	361
318	169	361
319	169	360
320	169	359
321	170	358
322	170	357
323	170	356
324	171	355
325	171	354
326	172	354
327	172	353
328	172	352
329	173	351
330	173	350
331	173	349
332	174	348
333	174	348
334	174	347
335	175	346
336	175	345
337	176	345
338	176	344
339	177	343
340	177	342
341	177	341
342	178	341
343	178	340
344	178	339
345	179	338
346	179	338
347	179	337
348	180	336
349	180	335
350	180	334
351	181	333
352	181	332
353	181	331
354	182	331
355	182	331
356	183	330
357	183	329
358	183	328
359	184	327
360	184	326
361	184	325
362	184	324
363	185	323
364	185	322
365	185	321
366	186	320
367	186	320
368	186	319
369	186	318
370	187	317
371	187	316
372	188	316
373	188	315
374	188	314
375	188	313
376	189	312
377	189	311
378	189	311
379	190	310
380	190	309
381	190	308
382	191	307
383	191	306
384	191	306
385	191	305
386	192	304
387	192	303
388	192	302
389	192	301
390	193	301
391	193	300
392	193	299
393	194	298
394	194	297
395	194	296
396	194	296
397	195	295
398	195	294
399	195	293
400	196	293
401	196	292
402	196	291
403	197	290
404	197	289
405	197	289
406	197	288
407	198	287
408	198	286
409	198	286
410	199	285
411	199	284
412	199	283
413	200	283
414	200	282
415	200	281
416	200	280
417	201	280
418	201	279
419	201	278
420	202	277
421	202	277
422	202	276
423	202	275
424	203	274
425	203	274
426	203	273
427	204	272
428	204	271
429	204	271
430	204	270
431	205	269
432	205	269
433	205	268
434	206	267
435	206	266
436	206	266
437	206	265
438	207	264
439	207	264
440	207	263
441	208	262
442	208	261
443	208	261
444	208	260
445	209	259
446	209	259
447	209	258
448	210	257
449	210	257
450	210	256
451	210	255
452	211	255
453	211	254
454	211	253
455	212	253
456	212	252
457	212	251
458	213	251
459	213	250
460	213	250
461	214	249
462	214	249
463	215	248
464	215	247
465	215	247
466	215	246
467	216	245
468	216	245
469	216	244
470	217	243
471	217	243
472	217	242
473	217	241
474	218	241
475	218	240
476	218	239
477	219	239
478	219	238
479	219	237
480	219	237
481	220	236
482	220	236
483	220	235
484	221	234
485	221	234
486	221	233
487	222	232
488	222	232
489	222	231
490	222	231
491	223	230
492	223	229
493	223	229
494	223	228
495	224	227
496	224	227
497	224	226
498	225	225
499	225	225
500	225	224
501	225	224
502	226	223
503	226	222
504	226	222
505	226	221
506	227	221
507	227	220
508	227	219
509	228	219
510	228	219
511	229	218
512	229	217
513	229	217
514	230	216
515	230	216
516	230	215
517	231	214
518	231	214
519	231	213
520	231	213
521	232	212
522	232	212
523	232	211
524	232	210
525	233	210
526	233	209
527	233	208
528	234	208
529	234	207
530	234	207
531	234	206
532	235	206
533	235	205
534	235	204
535	236	204
536	236	203
537	236	203
538	236	202
539	237	201
540	237	201
541	237	200
542	237	200
543	238	199
544	238	199
545	238	198
546	239	197
